"id","date","location","description","createdAt","updatedAt"
1,"2003-01-04 21:15:00","St Clares, Nr Carmarthen, Dyfed","White object with vivid flashing green, blue and red lights.","2022-02-04 16:55:04","2022-02-04 16:55:04"
2,"2003-01-04 19:20:00",unknown,"One object with a very bright light like an aircraft's landing light, with a smaller dimmer light on top of the bright light.","2022-02-04 16:55:04","2022-02-04 16:55:04"
3,"2003-01-06 15:00:00","Huddersfield, West Yorkshire","Three silver or white balls in the sky, joined by another two. Quite large. Travelling in a line.","2022-02-04 16:55:04","2022-02-04 16:55:04"
4,"2003-01-07 21:26:00","Blackpool, Lancashire","One bright white object, hovering at first, then moving quickly.","2022-02-04 16:55:04","2022-02-04 16:55:04"
5,"2003-01-08 22:00:00","Coaltown of Balgonie, Fife","Changing shape. Strong blue, green and red lights pulsating lights. Jumbo Jet sized.","2022-02-04 16:55:04","2022-02-04 16:55:04"
6,"2003-01-10 03:00:00",unknown,"Looked like a satellite re-entering, moving across the sky, then shot off like a shooting star.","2022-02-04 16:55:04","2022-02-04 16:55:04"
7,"2003-01-10 01:00:00","East Dulwich, London","Lights, that were formed in a worm shape, wriggling around in the sky.","2022-02-04 16:55:04","2022-02-04 16:55:04"
8,"2003-01-11 23:45:00","Bridgnorth, Salop","Oblong in shape with three vertical flashing lights, red, yellow and green, all flashing at the same time.","2022-02-04 16:55:04","2022-02-04 16:55:04"
9,"2003-01-13 07:40:00","Dunkeld, Tayside","Distant object moving from side to side. Bright light, brighter than any star. Went dim from time to time.","2022-02-04 16:55:04","2022-02-04 16:55:04"
10,"2008-01-08 22:24:00","Chorley, Lancashire","A triangular shaped object. Was an orange
colour. The object was moving across the sky quite fast.","2022-02-04 16:55:04","2022-02-04 16:55:04"
11,"2008-01-30 19:15:00","Darley Moor, Derbyshire","Two strange beams of light. They were very bright. They were hovering above some trees. The lights then moved towards the borders of
Staffordshire.","2022-02-04 16:55:04","2022-02-04 16:55:04"
12,"2008-02-08 21:00:00","Burntwood, Staffordshire","A dull, red object was travelling at high speed
and stayed on route.","2022-02-04 16:55:04","2022-02-04 16:55:04"
13,"2008-02-09 18:00:00","Abertillery, Gwent",There was an object in the sky that looked like a glowing red ball. A strange substance like molten metal burst from it as it went overhead. It moved without sound.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
14,"2008-02-09 22:40:00","Ashton Keynes, Wiltshire","There were ten to twenty, bright orange lights, that were manoeuvring across the sky. They
were moving quite slowly.","2022-02-04 16:55:04","2022-02-04 16:55:04"
15,"2008-02-10 04:00:00","Windermere, Cumbria","The object was triangular in shape, with a yellow light in each corner and a red light in the centre. The yellow lights were pulsating
quickly.","2022-02-04 16:55:04","2022-02-04 16:55:04"
16,"2008-02-11 19:00:00","Walthamstow, London","Eight, faint orange lights were flying in the sky.
They suddenly disappeared when a plane was in it's view.","2022-02-04 16:55:04","2022-02-04 16:55:04"
17,"2008-02-11 20:56:00","Huntingdon, Cambridgeshire","A long, thick, red streak shot across the sky. There was a silver ball of light attached to the front of it. It was rather large. The ball then got
bigger and burst.","2022-02-04 16:55:04","2022-02-04 16:55:04"
18,"1999-01-04 18:30:00","Folkestone, Kent",Squashed oval shaped object. Did not have the usual aircraft lights on it.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
19,"1999-01-04 06:45:00","Bournemouth, Dorset","One disc shaped object, no indication of size. There were two bright, blue flashing lights on it.","2022-02-04 16:55:04","2022-02-04 16:55:04"
20,"1999-01-07 18:30:00","Glanarfon, Wales","One flat, triangular object, (like a shield), white in colour. Coloured lights mainly round the edge of the craft. Spotlight beneath.","2022-02-04 16:55:04","2022-02-04 16:55:04"
21,"1999-01-09 22:00:00","Bolton, Lancashire","One main object, blue, red and white.","2022-02-04 16:55:04","2022-02-04 16:55:04"
22,"1999-01-09 02:00:00","The Rhondda, Mid Glamorgan","One large oval, with a sphere in the middle. Had bright blue, green and white lights on top of the craft. There was a humming noise.","2022-02-04 16:55:04","2022-02-04 16:55:04"
23,"1999-01-09 01:20:00","Dukinfield, Cheshire","One or two round, star sized objects were seen. They were multi coloured.","2022-02-04 16:55:04","2022-02-04 16:55:04"
24,"1999-01-09 21:37:00","Dunbar, East Lothian","One light, with red, green and yellow alternating lights on it.","2022-02-04 16:55:04","2022-02-04 16:55:04"
25,"1999-01-09 21:46:00","Kennoway, Fife","One sphere, that was alternating in colours - red, white, green and blue.","2022-02-04 16:55:04","2022-02-04 16:55:04"
26,"1999-01-10 01:30:00","Llanelli, Dyfed","One object, a pinprick of light changing colour between red, green and orange.","2022-02-04 16:55:04","2022-02-04 16:55:04"
27,"1999-01-10 10:07:00","Hednesford, Staffordshire","Like a bright star, with red, green and blue lights flashing in it. Hovering silently.","2022-02-04 16:55:04","2022-02-04 16:55:04"
28,"2007-01-03 22:08:00",unknown,Objects were seen in the sky towards the moon.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
29,"2007-01-16 20:45:00","Llanpumsaint, Carmarthenshire","Ball of light that faded away, then came back again. Orange ball was near the car.
Three red lights were seen moving clockwise.","2022-02-04 16:55:04","2022-02-04 16:55:04"
30,"2007-02-01 17:25:00","Archway/Islington, London","Twelve - fifteen orange balls of light seen moving across the sky. Moved upwards,
then faded away.","2022-02-04 16:55:04","2022-02-04 16:55:04"
31,"2007-03-03 22:29:00","Long Eaton, Nottinghamshire","A curved, diamond shaped object, passed over the witnesses head, going North. It
was travelling very fast.","2022-02-04 16:55:04","2022-02-04 16:55:04"
32,"2007-03-14 19:00:00","Idridgehay, Derbyshire",A very bright light.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
33,"2007-03-21 19:30:00","Wirksworth, Derbyshire","Looked like three small aircraft. They were totally still in the sky. They were very
white.","2022-02-04 16:55:04","2022-02-04 16:55:04"
34,"2007-03-29 11:25:00","Lincoln, Lincolnshire","Two objects, with very bright lights. They were moving too slow to be aircraft.","2022-02-04 16:55:04","2022-02-04 16:55:04"
35,"2002-01-01 22:30:00","St. Andrews, Fife",A glowing white light that was flashing.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
36,"2002-01-09 23:30:00","Swansea, West Glamorgan","Green, circular object, that was hovering in its position.","2022-02-04 16:55:04","2022-02-04 16:55:04"
37,"2002-01-15 18:00:00",unknown,"White and red flashing lights, looked like they were zig-zagging, then they came to a stop. Hovered, then moved away.","2022-02-04 16:55:04","2022-02-04 16:55:04"
38,"2002-01-19 02:00:00","Urmston, Greater Manchester","One spherically shaped object, that was white and very bright. The object moved at speed in a straight line, then disappeared.","2022-02-04 16:55:04","2022-02-04 16:55:04"
39,"2002-01-24 16:12:00",unknown,Eight to nine lights that looked like they were close and then they separated. Not too bright. Were like large fireworks.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
40,"2002-01-27 19:25:00","Leeds, West Yorkshire","Four small bright, white lights that looked like headlamps.","2022-02-04 16:55:04","2022-02-04 16:55:04"
41,"2002-01-28 03:00:00","Telford, Shropshire",Three triangle shaped object. Looked like the Mitsubishi car sign. Middle triangle was brighter than the other two.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
42,"2002-02-06 19:05:00","Narborough, Leicestershire",One globe with attachment that was white and very bright.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
43,"2002-02-13 22:19:00","Enfield, Middlesex",Twenty silver balls with an orange tinge were seen flying West of Enfield Wash.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
44,"2002-02-14 21:11:00","Rock, Shropshire",White lights.,"2022-02-04 16:55:04","2022-02-04 16:55:04"
45,"1998-01-03 22:05:00","Knutsford, Cheshire","One small, kite sized, leaf shaped object. Was bright red in colour. Moved very fast.","2022-02-04 16:55:04","2022-02-04 16:55:04"
